pretax_income,tax,after_tax_income
900000.0,378580.0,521420.0
901000.0,379127.0,521873.0
902000.0,379674.0,522326.0
903000.0,380222.0,522778.0
904000.0,380769.0,523231.0
905000.0,381316.0,523684.0
906000.0,381864.0,524136.0
907000.0,382411.0,524589.0
908000.0,382958.0,525042.0
909000.0,383505.0,525495.0
910000.0,384053.0,525947.0
911000.0,384600.0,526400.0
912000.0,385147.0,526853.0
913000.0,385694.0,527306.0
914000.0,386242.0,527758.0
915000.0,386789.0,528211.0
916000.0,387336.0,528664.0
917000.0,387883.0,529117.0
918000.0,388431.0,529569.0
919000.0,388978.0,530022.0
920000.0,389525.0,530475.0
921000.0,390073.0,530927.0
922000.0,390620.0,531380.0
923000.0,391167.0,531833.0
924000.0,391714.0,532286.0
925000.0,392262.0,532738.0
